station_name,bus_board_total,bus_alight_total,bus_total_count,route_count
숭실대입구역(00033),20450,22839,43289,2
송파구청.방이맛골(00030),13664,29610,43274,1
고속터미널호남선(00044),14471,28782,43253,1
개봉역(00027),19663,23580,43243,2
래미안아파트.파이낸셜뉴스(중)(00038),15642,27580,43222,3
낙생육교(00043),5869,37250,43119,1
테크노마트앞.강변역(00022),26913,16133,43046,2
미아사거리역(00017),33586,9422,43008,2
잠실역.롯데월드몰(00009),20392,22602,42994,1
압구정파출소(00038),16802,26144,42946,3
국가인권위.안중근활동터(00062),28836,14100,42936,1
보라매역.동작세무서(00065),26002,16886,42888,2
노원역9번출구(00009),26239,16563,42802,2
까치산역4번출구(00008),20330,22459,42789,1
가락시장.가락시장역(00005),35049,7731,42780,4
신림역2번출구(00025),5542,37225,42767,1
삼선동주민센터(00028),17167,25559,42726,2
신월동우성상가(00002),42169,408,42577,4
순천향대학병원.한남오거리(00038),20868,21679,42547,1
서울아산병원동관(00062),17022,25522,42544,1
명동.롯데영프라자(00046),20314,22188,42502,3
연대앞.세브란스병원(00017),19068,23423,42491,1
수서역6번출구(00029),30278,12213,42491,1
신대방역(00012),4001,38475,42476,1
동대문역.흥인지문(00059),28927,13530,42457,2
정릉길음시장(00009),30585,11824,42409,3
롯데백화점미아점(00018),188,42208,42396,1
서울대입구역5번출구(00064),24190,18173,42363,2
수유역6번출구(00057),20983,21320,42303,1
순천향대학병원.한남오거리(00056),12396,29864,42260,1
홍대입구역(00082),29062,13143,42205,1
가양역8번출구.마포중고교(00044),15765,26274,42039,1
동대문역.흥인지문(00019),31630,10404,42034,1
장지역.가든파이브(00002),41081,928,42009,6
봉은사역3번출구.삼성1파출소(00027),31487,10488,41975,3
학동역(00064),21577,20371,41948,1
녹번역(00052),21233,20669,41902,3
사당1동상점가(00059),16598,25241,41839,2
수유역(00010),22125,19583,41708,1
수유역.강북구청(00014),22419,19247,41666,2
지하철2호선강남역(00018),23220,18446,41666,1
중화역3번출구(00012),35374,6288,41662,1
서초역3번출구(00033),24919,16743,41662,2
와우패션클럽(00033),4941,36701,41642,1
돈암사거리.성신여대입구(00068),20563,21004,41567,2
남산도서관.용산도서관(00051),19077,22425,41502,2
망원전철역(00009),18704,22750,41454,1
창신쌍용2단지.한성대후문(00028),289,41093,41382,1
신용산역(00056),21833,19521,41354,2
문래역3번출구(00007),7682,33650,41332,2
강남성심병원.대림성모병원(00053),20552,20759,41311,2
순천향대학병원.한남오거리(00054),24199,17112,41311,1
강남구청.강남세무서(00031),24589,16718,41307,2
영등포역(00059),22860,18423,41283,1
서울경찰청.경복궁역(00062),15406,25845,41251,1
금호타운아파트(00032),339,40905,41244,1
명지대(00018),30630,10605,41235,3
영천시장(00048),28843,12380,41223,3
제기동역.서울약령시(00073),17054,24148,41202,3
동교동삼거리연희동방면(00067),33916,7252,41168,1
수서역6번출구(00035),28696,12465,41161,1
우성아파트(00029),21835,19265,41100,2
이수역(00013),27822,13251,41073,2
잠실역.롯데월드(00044),27835,13226,41061,1
영등포구청(00049),22302,18750,41052,1
구로디지털단지역(중)(00068),32588,8409,40997,1
종로1가(00027),20267,20700,40967,2
신월2동주민센터입구(00006),37569,3352,40921,3
강남역8번출구(00056),27352,13503,40855,1
신용산역(00046),28076,12743,40819,2
신림사거리(00045),33195,7590,40785,2
답십리역.동부시장(00045),23266,17518,40784,1
미아사거리역(00020),28536,12232,40768,1
신반포역.세화여중고(00036),13909,26852,40761,3
구의역1번출구(00025),37821,2932,40753,2
수유역.노스페이스문화센터(00017),25665,15077,40742,1
인덕원사거리.인덕원역(00097),24821,15909,40730,1
한신아파트(00001),35285,5411,40696,1
신도림역(00032),2243,38426,40669,1
중계1동주민센터(00011),14129,26501,40630,1
중랑역.동부시장(00084),22367,18244,40611,2
홍제역(중).서대문세무서(00029),13712,26887,40599,1
삼육서울병원(00082),22504,17960,40464,4
고속터미널(00027),16269,24195,40464,1
종로5가.광장시장(00061),15617,24823,40440,2
반포한강공원.세빛섬(00062),21848,18591,40439,1
단대오거리역.세이브존.성남시박물관(00011),14047,26376,40423,2
돈암사거리.성신여대입구(00075),24576,15782,40358,1
관악구청(00052),20401,19957,40358,3
강남구청역(00033),30199,10138,40337,2
종로3가역9번출구(00006),25199,15122,40321,1
신림동별빛거리입구(00083),28658,11642,40300,2
경희대입구(00091),16713,23561,40274,1
명지대(00045),923,39267,40190,1
답십리역사거리(00043),26017,14131,40148,1
종로2가(00030),20593,19549,40142,2
구파발역.롯데몰(00011),17138,22984,40122,2
경찰청.동북아역사재단(00047),24308,15804,40112,2
봉천사거리.봉천중앙시장(00067),25816,14288,40104,1
노량진역3번출구(00053),20964,19115,40079,1
지하철2호선강남역(00048),3824,36244,40068,1
합정역4번출구(00079),13766,26291,40057,1
신대방삼거리(00086),17410,22500,39910,2
명동성당.남대문세무서(중)(00030),15812,24091,39903,1
혜화역1번출구(00023),35044,4843,39887,1
가천대역.가천대학교(00025),25194,14690,39884,2
회기시장(00021),20405,19356,39761,2
까치산역4번출구(00071),22752,16980,39732,1
중계역1번출구(00063),4020,35701,39721,1
망원전철역(00033),25369,14240,39609,1
목동문화체육센터.건영아파트(00004),10811,28738,39549,2
상일동역4번출구.센트럴푸르지오(00009),22524,16991,39515,2
답십리역.동부시장(00028),9740,29771,39511,1
국민대앞(00040),24182,15281,39463,1
신설동역(00075),18831,20631,39462,2
녹번역(00021),16924,22516,39440,3
래미안아파트.파이낸셜뉴스(중)(00050),28298,11134,39432,2
여의도환승센터(00051),35791,3595,39386,2
홍제역4번출구(00061),11517,27849,39366,1
관악드림타운2단지(00009),12934,26410,39344,1
원남동(00027),22096,17247,39343,3
세브란스병원앞(00040),12281,26992,39273,3
천호역5번출구(00049),23858,15394,39252,1
미아사거리역(00047),26824,12394,39218,3
월곡역(00068),28418,10723,39141,1
이수역(00004),27858,11228,39086,3
독산동정훈단지(00009),31280,7752,39032,4
총신대입구역.남성사계시장입구앞(00005),30225,8789,39014,2
삼선교.한성대입구역(00009),553,38343,38896,1
사당역9번출구앞(00061),22683,16212,38895,1
홀트아동복지회(00026),34976,3899,38875,1
홍익대학교(00055),14359,24441,38800,1
홍제역4번출구(00009),23268,15454,38722,1
미아사거리역(00010),17736,20972,38708,2
신도림역(00028),21226,17481,38707,2
서울역버스환승센터(00036),10107,28467,38574,2
선릉역(00018),23862,14628,38490,2
문래역3번출구(00092),30116,8327,38443,1
연신내역.물빛공원(00015),24677,13724,38401,2
잠실역.롯데월드(00020),10263,28078,38341,2
고대앞(00026),12233,26077,38310,1
서울역서부(00001),26630,11676,38306,1
매봉역(00015),36154,2150,38304,1
광화문역2번출구.KT광화문지사(00049),25652,12639,38291,1
미아역.신일중고(00016),21575,16705,38280,5
서라벌중학교.우이동대우아파트(00005),34957,3297,38254,5
염창역.서울도시가스(00065),20890,17326,38216,2
연남동(00032),13499,24685,38184,2
신도림역(00001),33495,4605,38100,2
현대아파트.개봉중앙시장(00061),14220,23836,38056,1
매봉역입구(00011),1360,36681,38041,1
청량리역환승센터(00046),9235,28766,38001,2
노원역2번출구(00025),37388,584,37972,1
은행사거리(00078),13975,23989,37964,1
미아역.신일중고(00077),17538,20417,37955,2
대방역2번출구앞(00023),27213,10699,37912,1
신도림역(00055),29084,8789,37873,1
여의도(00003),18210,19635,37845,1
차병원차움(00020),16085,21740,37825,1
신림사거리.신림역(00024),10042,27774,37816,1
청량리역환승센터(00015),29610,8172,37782,1
도봉세무서.성암국제무역고(00017),19505,18268,37773,5
수서역5번출구.이마트앞(00025),2782,34981,37763,1
강남역12번출구(00022),16484,21262,37746,2
혜화역.동성중고(장면총리가옥)(00066),23488,14213,37701,4
강남역1번출구.역삼세무서(00071),15031,22660,37691,1
종로2가(00064),18127,19543,37670,3
지하철2호선강남역(00054),36292,1362,37654,1
고속터미널(00065),20674,16977,37651,1
성북청수도서관.정릉4동성당(00005),31466,6155,37621,5
금호타운아파트(00002),37466,112,37578,1
합정역(00018),6249,31328,37577,1
월계동진아교통(00001),29041,8488,37529,5
하계미성아파트.을지병원(00069),34102,3423,37525,1
신사역1번출구(00015),30078,7418,37496,1
고속터미널(00098),17721,19764,37485,1
남영역.민주화운동기념관(00013),8183,29295,37478,1
마포역(00040),22995,14470,37465,1
화곡동남부시장(00044),18063,19398,37461,1
홍대입구역(00015),5701,31739,37440,1
모두의학교.금천문화예술정보학교(00015),17752,19686,37438,3
구로디지털단지역(00017),17359,20055,37414,1
상계역5번출구.상계벽산아파트(00007),23519,13859,37378,3
응암역신사오거리(00066),26351,10988,37339,1
사당역12번출구(00009),19645,17694,37339,1
신도림역(00100),31333,5988,37321,2
이대후문(00027),16675,20624,37299,2
서울상록회관.한국기술센터(00019),22930,14346,37276,2
천호역.풍납시장(00055),34073,3170,37243,1
신도림동.구로역(00013),15775,21462,37237,4
종로5가역.광장시장(00017),19203,18033,37236,1
