d_gu_name,bjdong_nm,total_cnt,evening_2030_cnt,morning_2030_cnt,afternoon_2030_cnt,late_night_2030_cnt,weekday_2030_cnt,friday_2030_cnt,weekend_2030_cnt,adjusted_mobility_score,mobility_score,residential_dominance_score,young_single_ratio,young_homebound_ratio,evening_2030_ratio,morning_2030_ratio,afternoon_2030_ratio,late_night_2030_ratio,weekday_2030_ratio,friday_2030_ratio,weekend_2030_ratio,commercial_zone_ratio,residential_zone_ratio,food_sales_ratio,daytime_influx_ratio,commercial_potential_score,bjdong_cd,candidate_type,visit_pattern_type,residential_filter
중랑구,면목본동,1078701.45,62605.79,4521.9,91599.59,22747.81,180075.51,41019.32,75534.43,1.2472638680094863,1.8684462528197185,0.8874034068717602,0.21788946135831383,0.04749695550351288,0.21105736500842837,0.01524428170032855,0.3088015996803552,0.07668768077700763,0.6070726468454258,0.13828480710230676,0.2546425460522674,0.0,0.0,0.0,1.0,1.7472638680094863,11260565,관찰 필요,목적 방문형,방문성 검토
강남구,삼성동,5930234.8,137138.85,138831.65,952408.25,90246.36,1589603.78,397460.63,474355.85,1.743562361338361,2.1584968814799894,0.055946497267496675,0.2230220251034469,0.04089170167913618,0.06904580793499093,0.055090951991251774,0.3664117388721226,0.042449943490277614,0.6577225771333488,0.16042946313655468,0.18184795973009654,0.0,0.0,0.0,1.0,1.743562361338361,11680580,광역 목적지형,생활 밀착형,방문성 검토
용산구,효창동,572490.44,29632.01,6985.0,77209.77,12423.880000000001,136631.89,26986.65,43673.78,1.7269714741745807,1.7269714741745807,-1.0277531794955135,0.1858389694041868,0.04157165861513687,0.14294793941232362,0.03369637620921026,0.3724680682815456,0.059934106579539466,0.6591266381697113,0.1301864439550872,0.21068691787520155,0.0,0.0,0.0,1.0,1.7269714741745807,11170580,소규모 2030 집중형,생활 밀착형,방문성 검토
송파구,가락본동,2033026.05,78212.85,32024.329999999998,218153.85,37806.88,446668.23,104717.26,126732.92,1.7223469140513177,1.7223469140513177,-0.3555838407337819,0.16762999385371852,0.0350719114935464,0.11533804251089423,0.04722527736711941,0.32170465627087164,0.05575262290843865,0.6586876619379792,0.15442326657965236,0.18688907148236839,0.0,0.0,0.0,1.0,1.7223469140513177,11710620,광역 목적지형,생활 밀착형,방문성 검토
마포구,아현동,1385301.02,67864.7,14061.85,137503.66,29221.16,274154.12,63561.92,95449.18,1.7168716446242245,1.7168716446242245,-1.0841778691891846,0.12136099955377065,0.028424810352521198,0.1566716275143235,0.03246301722931495,0.3174392902551133,0.06745961737186564,0.632908893285569,0.1467382815268502,0.22035282518758084,0.0,0.0,0.0,1.0,1.7168716446242245,11440555,관찰 필요,생활 밀착형,방문성 검토
용산구,한강로동,4326436.04,149576.31,61883.18,1003016.78,52338.51,1134836.44,315419.92,698858.51,1.7028276186637628,3.684927812846186,2.8315717059748904,0.38080669710806697,0.06324527071102413,0.0695990298554865,0.028794728873659508,0.46671157228557075,0.024353519083882193,0.528048293667988,0.1467673619512018,0.3251843443808101,0.0,0.0,0.0,1.0,1.7028276186637628,11170625,광역 목적지형,불명확,혼재형 (상권+거주)
성동구,왕십리동,636033.28,38873.69,4577.1,59429.92,18264.3,122307.93,26346.86,46432.77,1.6904524203340434,1.6904524203340434,-0.1997728223885621,0.19670809943865278,0.048139534883720934,0.19926278231169636,0.02346177275475689,0.3046320329189621,0.09362103867617187,0.6269386423204022,0.13505146099525772,0.23800989668434008,0.0,0.0,0.0,1.0,1.6904524203340434,11200520,관찰 필요,생활 밀착형,방문성 검토
관악구,낙성대동,1457674.32,125524.54,11310.61,250945.11,34569.07,433827.88,109116.18,187776.06,1.6827893935760558,4.544871508386279,4.088688735443177,0.49248804565787446,0.05677464136973624,0.17178196762941192,0.01547871707706639,0.34342165095987776,0.047308222469637215,0.5936991032900532,0.14932691329205497,0.2569739834178919,0.0,0.0,0.0,1.0,1.6827893935760558,11620585,관찰 필요,불명확,혼재형 (상권+거주)
마포구,공덕동,1668560.56,94170.97,17148.27,180753.02,41335.37,363911.17,83534.13,125568.33,1.6737180142757855,2.427076027856395,1.0762257336865853,0.2416732798649219,0.03941831996623047,0.16434333333397322,0.02992646091158425,0.3154427932194213,0.07213680065516069,0.6350829211514567,0.14578035429977468,0.2191367245487686,0.0,0.0,0.0,1.0,1.6737180142757855,11440565,광역 목적지형,생활 밀착형,방문성 검토
송파구,송파동,2262045.47,124152.29000000001,14040.67,337002.77,41414.06,467846.18,117718.40999999999,257122.19,1.4040793155741234,1.99377053624032,-0.45537087167764656,0.1992421507060457,0.03195163142447016,0.15992705832567422,0.019528368546673846,0.3783287781542735,0.05664960500245192,0.5738782962137119,0.13908892487891733,0.2870327789073708,0.0,0.0,0.0,1.0,1.6540793155741234,11710580,광역 목적지형,불명확,혼재형 (상권+거주)
